051256849-36;Renato B E Lacerda;RLace051;Lac300
108697616-16;Weslley F B Alves;WAlve108;Alv458
053832951-52;Fabio C E Leite;FLeit053;Lei876
093972964-03;Matheus C D Viçoso;MViço093;Viç477
098795980-88;Arthur A F Lacerda;ALace098;Lac985
088568763-54;Clarissa A G Leite;CLeit088;Lei373
078563355-64;Geovanna G G Lacerda;GLace078;Lac321
105937666-40;Clarissa D E Batista;CBati105;Bat142
082819000-29;Gustavo D A Mayrink;GMayr082;May242
062918190-46;Davi F D Fraga;DFrag062;Fra129
104229228-47;Larissa E E Braga;LBrag104;Bra979
046509317-91;Dario A E Lacerda;DLace046;Lac532
049167044-94;Ítalo A B Lima;ÍLima049;Lim525
073626125-85;Vinicius A E Nunes;VNune073;Nun992
105903826-94;Guilherme E D Abdalla;GAbda105;Abd900
097669739-56;Arthur E B Abdalla;AAbda097;Abd797
041845542-69;Dario G A Lima;DLima041;Lim217
093678658-97;Gustavo G B Borges;GBorg093;Bor717
089717009-72;Ítalo F B Couto;ÍCout089;Cou751
062048740-30;Stephanie A D Nunes;SNune062;Nun869
046611528-60;Albert B E Matos;AMato046;Mat938
101609370-82;Erckson E D Neves;ENeve101;Nev703
072181086-16;Gabriel B A Leão;GLeão072;Leã198
046664146-15;Guilherme C F Ritschel;GRits046;Rit793
114455049-13;Ronilson C F Ramos;RRamo114;Ram661
061267988-72;Gabriel D B Nunes;GNune061;Nun453
112822868-44;Maria E E Silva;MSilv112;Sil920
058467136-51;Joao A G Braga;JBrag058;Bra761
059962237-38;Dario F D Ramos;DRamo059;Ram763
044537298-44;Erckson C A Matos;EMato044;Mat222
093141324-65;Ian C A Amaral;IAmar093;Ama186
053957371-93;Vinicius F E Souza;VSouz053;Sou221
111984587-27;Clarissa F B Pires;CPire111;Pir291
062445074-68;Weslley F E Ritschel;WRits062;Rit498
042197798-44;Carlos B A Pinho;CPinh042;Pin926
075899213-34;Lucas C G Neves;LNeve075;Nev989
049906052-25;Vinicius G D Leite;VLeit049;Lei452
061976411-02;Helena G F Ramos;HRamo061;Ram875
092556899-55;Erik B A Ramos;ERamo092;Ram571
088414791-10;Ana D D Assis;AAssi088;Ass142
054410656-61;Helena F F Alves;HAlve054;Alv547
058112929-37;Larissa A D Silva;LSilv058;Sil347
071923342-87;Ana G D Abdalla;AAbda071;Abd912
089922922-42;Pedro F E Fernandes;PFern089;Fer395
105033658-78;Luis F F Couto;LCout105;Cou122
077386093-07;Gabriel D G Soares;GSoar077;Soa900
083802951-83;Petrônio D D Silva;PSilv083;Sil105
112767943-94;Raissa A C Nunes;RNune112;Nun837
102563510-78;Ian A D Ramos;IRamo102;Ram874
082949191-26;Matheus E B Guerra;MGuer082;Gue869
045395677-93;Clarissa B D Lutkenhaus;CLutk045;Lut225
057530721-51;Clarissa E F Borges;CBorg057;Bor157
096227539-90;Petrônio B D Matos;PMato096;Mat311
070507836-29;Geovanna E A Mozany;GMoza070;Moz669
070921692-46;Ronilson E E Assis;RAssi070;Ass226
095477908-11;Stephany D E Guimarães;SGuim095;Gui184
065346304-53;Geovanna D C Braga;GBrag065;Bra824
042926147-71;Davi E G Matos;DMato042;Mat568
044913385-86;Lucas B A Ritschel;LRits044;Rit168
056309034-89;Erckson G E Leão;ELeão056;Leã947
059390752-03;Helena G B Soares;HSoar059;Soa763
090292735-84;Hugo F A Souza;HSouz090;Sou805
080822503-21;Ian C A Guerra;IGuer080;Gue877
090854937-45;Stephany C G Batista;SBati090;Bat886
104437810-95;Dario A B Freire;DFrei104;Fre514
061966370-64;Petrônio F F Pires;PPire061;Pir498
044736184-08;Stephanie G G Gomes;SGome044;Gom728
101589111-80;Hugo C F Souza;HSouz101;Sou609
113071278-55;Guilherme D A Oliveira;GOliv113;Oli594
067683531-95;Erik G G Borges;EBorg067;Bor194
048345626-17;Raissa B A Ritschel;RRits048;Rit285
040922438-04;Erik C B Pinho;EPinh040;Pin809
109760300-75;Fabio G A Campos;FCamp109;Cam496
043207483-84;Ana C E Batista;ABati043;Bat110
062302385-17;Lucas A C Freire;LFrei062;Fre410
067849261-32;Davi C F Pinho;DPinh067;Pin651
094253612-80;Joao B D Batista;JBati094;Bat934
111922344-32;Stephanie B A Mozany;SMoza111;Moz554
069452642-67;Hugo F G Alves;HAlve069;Alv977
045386781-61;Stephanie F F Ramos;SRamo045;Ram248
112786808-07;Raissa E B Guerra;RGuer112;Gue513
064421043-03;Erckson F C Oliveira;EOliv064;Oli425
077754421-41;Clarissa D D Lutkenhaus;CLutk077;Lut586
040097061-65;Maria F B Braga;MBrag040;Bra399
090089502-51;Erik C G Lacerda;ELace090;Lac980
046570022-47;Joao F E Lutkenhaus;JLutk046;Lut583
079152430-20;Felipe E D Batista;FBati079;Bat450
089124036-39;Larissa D D Freire;LFrei089;Fre309
094949975-88;Joao F C Soares;JSoar094;Soa224
045415289-72;Larissa E D Leite;LLeit045;Lei804
109411370-40;Hugo A A Viçoso;HViço109;Viç815
058401409-06;Ítalo E A Santos;ÍSant058;San871
079832970-11;Lucas F D Lacerda;LLace079;Lac973
056893190-50;Stephany D F Souza;SSouz056;Sou524
105032594-15;Guilherme D B Alves;GAlve105;Alv973
067469120-07;Ronilson F G Lacerda;RLace067;Lac633
084349440-79;Weslley G C Neves;WNeve084;Nev522
069967917-54;Dario A E Mayrink;DMayr069;May849
082095301-00;Albert C G Vianna;AVian082;Via920
069768695-46;Helena C E Lutkenhaus;HLutk069;Lut558
075059723-61;Weslley A A Couto;WCout075;Cou518
099884423-91;Daniel A F Nunes;DNune099;Nun265
098273330-02;Renato G D Alves;RAlve098;Alv955
100758844-85;Daniel A C Gomes;DGome100;Gom674
074330670-81;Larissa D C Amaral;LAmar074;Ama364
095063659-77;Ítalo B F Viçoso;ÍViço095;Viç178
114499943-23;Lucas D D Abdalla;LAbda114;Abd769
050021663-61;Stephany B B Mozany;SMoza050;Moz962
069793297-18;Guilherme C C Viçoso;GViço069;Viç433
087678728-40;Renato B G Souza;RSouz087;Sou650
089067875-16;Carlos C F Lutkenhaus;CLutk089;Lut272
060548094-21;Luis A F Lima;LLima060;Lim152
048947565-95;Renato C A Fernandes;RFern048;Fer230
083783444-53;Weslley G E Nunes;WNune083;Nun269
070141311-52;Guilherme A C Soares;GSoar070;Soa885
097746112-51;Joao F C Leite;JLeit097;Lei530
084430175-79;Matheus A G Batista;MBati084;Bat951
077578158-21;Hugo F G Ritschel;HRits077;Rit378
070817299-46;Ítalo B C Guimarães;ÍGuim070;Gui198
066304330-42;Petrônio D E Guimarães;PGuim066;Gui196
073032875-50;Dario G D Matos;DMato073;Mat842
071963128-58;Matheus B F Santos;MSant071;San172
058718189-73;Erckson D C Soares;ESoar058;Soa783
098969008-08;Pedro A D Braga;PBrag098;Bra291
097674140-82;Davi G F Ritschel;DRits097;Rit857
097017710-40;Arthur F G Lutkenhaus;ALutk097;Lut879
074903952-04;Renato G G Cruz;RCruz074;Cru863
077631832-70;Matheus D C Mozany;MMoza077;Moz317
109947452-86;Carlos A G Braga;CBrag109;Bra468
063330804-93;Petrônio D C Leão;PLeão063;Leã178
070513010-98;Maria G D Neves;MNeve070;Nev861
062853889-26;Helena G B Fraga;HFrag062;Fra386
078046266-19;Arthur E B Ritschel;ARits078;Rit982
043826809-26;Gustavo C F Moreira;GMore043;Mor643
046689754-33;Stephanie C F Leite;SLeit046;Lei945
114402539-45;Eric B F Nascimento;ENasc114;Nas678
094364719-26;Albert G A Oliveira;AOliv094;Oli443
057388817-04;Stephanie G C Oliveira;SOliv057;Oli326
063480141-89;Raissa B E Leão;RLeão063;Leã453
080388698-84;Renato G D Assis;RAssi080;Ass780
089316017-64;Eric C D Guerra;EGuer089;Gue495
072450137-26;Vinicius F F Pires;VPire072;Pir667
050968206-03;Pedro F A Soares;PSoar050;Soa908
092968736-75;Guilherme F E Mayrink;GMayr092;May892
091637036-74;Larissa C D Alves;LAlve091;Alv291
090170171-50;Arthur B D Batista;ABati090;Bat252
053908272-47;Ian C G Guerra;IGuer053;Gue741
113752171-50;Hugo G G Assis;HAssi113;Ass904
057959813-23;Maria C E Guimarães;MGuim057;Gui504
045800964-27;Guilherme B D Abdalla;GAbda045;Abd416
102894252-71;Joao A E Mayrink;JMayr102;May227
079570179-15;Erik B G Leão;ELeão079;Leã693
079492018-13;Felipe F E Leão;FLeão079;Leã455
083003617-13;Petrônio F B Ritschel;PRits083;Rit403
060039103-68;Eric F A Guimarães;EGuim060;Gui623
112047374-73;Joao E B Leão;JLeão112;Leã758
107172322-74;Felipe D F Lima;FLima107;Lim863
045894318-77;Maria C E Ritschel;MRits045;Rit533
044943795-65;Ana D A Cruz;ACruz044;Cru822
058129212-56;Erik B G Souza;ESouz058;Sou507
067858118-99;Ana G F Lutkenhaus;ALutk067;Lut136
043623219-32;Eric E E Moreira;EMore043;Mor675
112384750-97;Raissa F F Lima;RLima112;Lim199
107867833-46;Davi G C Mozany;DMoza107;Moz909
040635531-99;Raissa D D Campos;RCamp040;Cam721
061295821-87;Matheus G E Fraga;MFrag061;Fra310
049396977-62;Fabio B A Soares;FSoar049;Soa743
093036912-67;Arthur C G Fernandes;AFern093;Fer854
097535115-59;Raissa C A Campos;RCamp097;Cam597
057479760-88;Renato F B Lima;RLima057;Lim496
041811867-89;Erckson A B Leite;ELeit041;Lei643
074657529-30;Eric F E Ritschel;ERits074;Rit257
100070438-84;Carlos E E Borges;CBorg100;Bor274
078578978-70;Maria C C Freire;MFrei078;Fre458
077945204-99;Ian D G Guerra;IGuer077;Gue736
111433144-38;Luis G C Borges;LBorg111;Bor911
110385535-08;Hugo D G Silva;HSilv110;Sil148
084898758-82;Petrônio E B Mayrink;PMayr084;May558
078316829-00;Eric G F Silva;ESilv078;Sil782
101369578-13;Albert C F Fernandes;AFern101;Fer394
054944764-80;Erik C D Mozany;EMoza054;Moz752
113665151-93;Daniel A E Ramos;DRamo113;Ram112
052669681-30;Lucas D C Gomes;LGome052;Gom283
085501505-66;Eric B A Leão;ELeão085;Leã120
060009373-79;Erckson D C Freire;EFrei060;Fre166
087847223-88;Eric B B Ritschel;ERits087;Rit965
048287973-92;Stephanie D G Ritschel;SRits048;Rit296
066638826-72;Geovanna B A Leão;GLeão066;Leã217
053496868-68;Erik E F Matos;EMato053;Mat328
072326978-89;Maria G B Batista;MBati072;Bat373
107711128-42;Dario E G Mozany;DMoza107;Moz369
069954332-89;Raissa F C Fernandes;RFern069;Fer335
044026833-23;Arthur D F Fernandes;AFern044;Fer298
049378365-59;Larissa C A Souza;LSouz049;Sou613
048049971-23;Daniel E B Moreira;DMore048;Mor215
076575750-51;Carlos C G Fraga;CFrag076;Fra256
073214563-14;Matheus G E Souza;MSouz073;Sou517
102152819-28;Pedro A B Ritschel;PRits102;Rit749
078443614-39;Carlos C B Borges;CBorg078;Bor840
078384299-69;Helena B A Neves;HNeve078;Nev375
079792741-17;Gustavo G A Amaral;GAmar079;Ama410
101379280-16;Geovanna B G Amaral;GAmar101;Ama797
104652962-23;Renato E B Vianna;RVian104;Via234
106583373-91;Gustavo E E Campos;GCamp106;Cam983
103150689-25;Arthur E A Pires;APire103;Pir699
112073841-72;Renato D F Moreira;RMore112;Mor245
068831137-69;Larissa A D Mozany;LMoza068;Moz597
043264795-91;Ian E E Moreira;IMore043;Mor187
062169499-25;Davi B G Santos;DSant062;San484
057109151-88;Clarissa D F Abdalla;CAbda057;Abd652
069675211-09;Weslley F F Mayrink;WMayr069;May798
108203296-89;Albert F G Souza;ASouz108;Sou693
040095959-53;Leonardo A A Oliveira;LOliv040;Oli960
064657321-43;Matheus B B Vianna;MVian064;Via326
046445785-65;Gustavo C C Nunes;GNune046;Nun631
084258157-23;Carlos A B Mozany;CMoza084;Moz148
057821189-78;Lucas C B Nunes;LNune057;Nun143
046027435-39;Gabriel D A Amaral;GAmar046;Ama350
104465929-63;Clarissa A C Ritschel;CRits104;Rit140
093962776-18;Albert E F Vianna;AVian093;Via434
040610872-65;Guilherme C D Braga;GBrag040;Bra738
050359456-21;Luis C C Braga;LBrag050;Bra441
079206672-33;Maria D B Nascimento;MNasc079;Nas437
065673277-24;Stephanie E F Ritschel;SRits065;Rit328
109496079-36;Stephany E F Moreira;SMore109;Mor529
051136451-74;Albert E A Abdalla;AAbda051;Abd494
070866186-12;Erik D F Ritschel;ERits070;Rit423
077724137-96;Hugo A C Leite;HLeit077;Lei796
100683968-07;Ronilson E G Couto;RCout100;Cou571
078314038-97;Helena B B Pinho;HPinh078;Pin943
051772646-09;Eric G C Leite;ELeit051;Lei340
063358883-87;Leonardo D F Nascimento;LNasc063;Nas632
088461851-37;Joao D G Lacerda;JLace088;Lac628
065310537-15;Joao E G Souza;JSouz065;Sou405
066561878-70;Raissa G B Mayrink;RMayr066;May861
047388206-94;Geovanna A E Lacerda;GLace047;Lac187
075629162-72;Dario A D Soares;DSoar075;Soa453
044365233-92;Larissa D B Fernandes;LFern044;Fer376
083854560-04;Luis C F Batista;LBati083;Bat973
085320743-47;Dario E F Silva;DSilv085;Sil257
102529401-42;Guilherme E G Leite;GLeit102;Lei810
052553087-62;Larissa A A Santos;LSant052;San529
092374489-61;Albert D F Santos;ASant092;San691
073771131-74;Erckson D B Lima;ELima073;Lim410
050644619-71;Vinicius B G Freire;VFrei050;Fre342
046800402-33;Guilherme C A Leão;GLeão046;Leã777
064140157-29;Davi G E Assis;DAssi064;Ass189
097614895-20;Renato E E Neves;RNeve097;Nev179
043487265-55;Petrônio E G Cruz;PCruz043;Cru939
097007934-40;Arthur E G Couto;ACout097;Cou661
088470697-86;Ana B D Ramos;ARamo088;Ram441
101970100-81;Ítalo B A Campos;ÍCamp101;Cam887
060154595-81;Carlos E F Couto;CCout060;Cou735
093609301-25;Renato F D Guimarães;RGuim093;Gui760
068812349-12;Arthur B C Leite;ALeit068;Lei154
094493053-01;Guilherme C F Vianna;GVian094;Via366
046802096-81;Erik C D Braga;EBrag046;Bra572
069265315-52;Clarissa E B Assis;CAssi069;Ass197
082032232-42;Erckson G B Abdalla;EAbda082;Abd249
066338430-92;Clarissa D B Fraga;CFrag066;Fra180
051345853-89;Arthur A G Ritschel;ARits051;Rit923
092869827-07;Gabriel B G Ramos;GRamo092;Ram939
090724177-88;Erik E A Campos;ECamp090;Cam942
071928421-29;Albert B F Nunes;ANune071;Nun960
040005898-10;Albert E F Mayrink;AMayr040;May561
105166409-95;Ana D G Freire;AFrei105;Fre824
074196137-81;Raissa C G Borges;RBorg074;Bor308
046672031-21;Helena D F Batista;HBati046;Bat927
083080442-08;Albert B G Nascimento;ANasc083;Nas761
097303976-90;Arthur B D Amaral;AAmar097;Ama165
055512271-35;Larissa D B Viçoso;LViço055;Viç371
105590983-50;Luis F D Guerra;LGuer105;Gue738
059044599-98;Joao E G Braga;JBrag059;Bra648
086738656-44;Davi E C Guimarães;DGuim086;Gui241
086534935-04;Gabriel D B Gomes;GGome086;Gom307
103602650-33;Ítalo D B Soares;ÍSoar103;Soa367
090990632-96;Albert B G Oliveira;AOliv090;Oli753
082274023-83;Ian F F Soares;ISoar082;Soa806
080959425-70;Fabio F A Matos;FMato080;Mat908
111608297-23;Erik C A Santos;ESant111;San860
062402002-18;Daniel E D Cruz;DCruz062;Cru609
108068518-13;Gustavo A D Matos;GMato108;Mat261
051463130-60;Clarissa A F Abdalla;CAbda051;Abd481
040730565-17;Pedro G A Braga;PBrag040;Bra423
106030870-78;Fabio D G Braga;FBrag106;Bra565
083220588-43;Helena D C Alves;HAlve083;Alv662
104087275-76;Fabio E D Soares;FSoar104;Soa781
111857809-18;Erik D G Alves;EAlve111;Alv980
112558652-17;Gabriel B E Borges;GBorg112;Bor996
110455545-61;Daniel D E Ritschel;DRits110;Rit467
078877626-71;Eric G D Lutkenhaus;ELutk078;Lut914
094174121-56;Ítalo G B Ritschel;ÍRits094;Rit619
106146325-36;Eric F F Matos;EMato106;Mat616
106654705-76;Daniel B B Gomes;DGome106;Gom206
104256119-06;Erckson E B Nunes;ENune104;Nun989
082236116-76;Davi B B Soares;DSoar082;Soa521
104071789-79;Ian A A Neves;INeve104;Nev574
061538114-15;Albert F G Campos;ACamp061;Cam326
043262901-28;Matheus C F Lima;MLima043;Lim228
102104646-12;Vinicius B C Ritschel;VRits102;Rit558
086488660-37;Matheus G G Ramos;MRamo086;Ram842
043837223-12;Pedro E E Mayrink;PMayr043;May829
109146228-18;Gustavo E G Souza;GSouz109;Sou474
085813732-12;Petrônio E G Matos;PMato085;Mat105
061207383-05;Guilherme E F Souza;GSouz061;Sou831
056529394-96;Joao B D Ramos;JRamo056;Ram331
103587633-06;Geovanna A C Pinho;GPinh103;Pin595
100869441-24;Vinicius D G Alves;VAlve100;Alv849
087616245-18;Erik E C Santos;ESant087;San187
107307676-72;Ronilson B C Batista;RBati107;Bat549
105859299-45;Ian F A Leão;ILeão105;Leã256
078935602-67;Helena G E Oliveira;HOliv078;Oli671
087563117-38;Petrônio D A Lacerda;PLace087;Lac120
086477441-21;Hugo B G Leão;HLeão086;Leã852
075789427-66;Weslley D C Silva;WSilv075;Sil175
071748858-72;Renato C A Lutkenhaus;RLutk071;Lut159
044264016-70;Luis E E Santos;LSant044;San602
056986646-95;Erckson D F Pires;EPire056;Pir475
067940958-38;Davi D C Mayrink;DMayr067;May748
051231039-56;Stephany E F Silva;SSilv051;Sil694
061856335-92;Guilherme B B Oliveira;GOliv061;Oli438
078083561-89;Raissa C D Lima;RLima078;Lim171
082871291-08;Arthur A G Lacerda;ALace082;Lac652
067009717-13;Albert C G Freire;AFrei067;Fre731
057842667-27;Gabriel C G Oliveira;GOliv057;Oli691
103790618-70;Davi C D Lima;DLima103;Lim840
043949246-43;Arthur G E Moreira;AMore043;Mor483
052415230-22;Stephany G G Campos;SCamp052;Cam425
083192954-45;Guilherme D E Fraga;GFrag083;Fra585
053694662-75;Dario A E Assis;DAssi053;Ass216
089499010-35;Joao G D Matos;JMato089;Mat937
106885099-25;Joao G G Lacerda;JLace106;Lac750
053644577-38;Lucas E E Santos;LSant053;San836
105246531-99;Arthur D A Moreira;AMore105;Mor858
101474499-63;Gustavo G D Ramos;GRamo101;Ram501
048212890-10;Stephany B G Pires;SPire048;Pir226
061248677-19;Erckson D G Pires;EPire061;Pir605
069250588-65;Renato E G Abdalla;RAbda069;Abd642
042540536-26;Dario C D Abdalla;DAbda042;Abd453
062804603-57;Eric D E Pires;EPire062;Pir745
072469839-73;Stephany D C Leite;SLeit072;Lei231
080459680-45;Erik C A Soares;ESoar080;Soa128
071128427-52;Leonardo B E Couto;LCout071;Cou812
049273210-41;Gabriel E D Pires;GPire049;Pir766
057938038-61;Joao E A Freire;JFrei057;Fre625
050854961-22;Ronilson B C Guimarães;RGuim050;Gui439
059877722-56;Vinicius F A Leão;VLeão059;Leã625
041965215-49;Albert G E Ramos;ARamo041;Ram670
103045246-99;Felipe D B Guimarães;FGuim103;Gui918
100821236-59;Vinicius E A Braga;VBrag100;Bra302
046121547-19;Pedro G E Borges;PBorg046;Bor391
060380949-53;Guilherme F F Vianna;GVian060;Via843
098568545-80;Raissa A E Vianna;RVian098;Via301
052295327-21;Luis D F Guimarães;LGuim052;Gui351
103209850-48;Ana D A Matos;AMato103;Mat212
106963466-07;Arthur A B Santos;ASant106;San120
107968965-48;Matheus E A Viçoso;MViço107;Viç563
083464339-32;Erik B B Guimarães;EGuim083;Gui543
061542197-75;Erckson A A Vianna;EVian061;Via312
062983298-93;Leonardo B D Oliveira;LOliv062;Oli181
111007419-19;Larissa C A Moreira;LMore111;Mor133
080023451-34;Lucas B A Guerra;LGuer080;Gue152
063082356-87;Gustavo G G Nascimento;GNasc063;Nas394
110333390-74;Gabriel D A Abdalla;GAbda110;Abd912
076228711-58;Dario D C Leite;DLeit076;Lei918
087010029-06;Clarissa G D Oliveira;COliv087;Oli186
099473527-94;Vinicius B D Nunes;VNune099;Nun863
052524920-83;Ana E E Guimarães;AGuim052;Gui197
059203478-41;Felipe C G Santos;FSant059;San901
093048309-02;Stephanie G E Santos;SSant093;San116
092306467-81;Arthur D G Lima;ALima092;Lim171
073943491-88;Joao D B Souza;JSouz073;Sou872
053580348-85;Gabriel F D Cruz;GCruz053;Cru758
